event_id,trade_id,signal_id,event_time,event_type,market,symbol,message
5bd3cb4ee51494934035,cee8c088c8a3a8b9e006,a4b2bcde58d06ac952ac,2026-05-14T03:03:55.620689+00:00,PAPER_OPEN,forex,EURAUD,Opened at 1.61493
90fb601ad638b93cf198,5512a2b9dddfe228ed51,47d3ba180137b10296de,2026-05-14T03:33:55.009337+00:00,PAPER_OPEN,forex,AUDCAD,Opened at 0.99401
18bcb74c52ef5b1cd0da,cee8c088c8a3a8b9e006,a4b2bcde58d06ac952ac,2026-05-14T05:49:16.052477+00:00,BREAKEVEN_ACTIVATED,forex,EURAUD,MFE reached 82.2% of TP1
5105a2e309378bd0135f,cee8c088c8a3a8b9e006,a4b2bcde58d06ac952ac,2026-05-14T05:49:16.066263+00:00,PAPER_CLOSED,forex,EURAUD,SL
777ff86e9edd48ed502e,5512a2b9dddfe228ed51,47d3ba180137b10296de,2026-05-14T09:40:06.677338+00:00,PAPER_CLOSED,forex,AUDCAD,SL
a88352b329fe98d8404a,a955270824ffc6e1b8f9,22c5851867bb73f29ccc,2026-05-14T12:05:23.595262+00:00,PAPER_CLOSED,forex,AUDCHF,SL
e76196fe399abe26667f,63651af1ce5d01dbe8b3,4755b4e757a2f981bbd9,2026-05-20T01:42:03.078068+00:00,PAPER_OPEN,forex,EURJPY,Opened at 184.46201
23bc1e2b1da15511a02f,47895b8196569171a0ba,468f0cf31f6b82f94ff0,2026-05-20T02:06:47.740807+00:00,PAPER_OPEN,forex,EURUSD,Opened at 1.16023
fc104e8d53b6a62578c3,493c1236f4a0020eda7d,efca2c857c13218377bf,2026-05-20T10:12:07.434418+00:00,PAPER_OPEN,forex,EURUSD,Opened at 1.15942
7d223a8d31ea49ee02de,63651af1ce5d01dbe8b3,4755b4e757a2f981bbd9,2026-05-20T12:17:17.923118+00:00,PARTIAL_CLOSE,forex,EURJPY,Reduced size by 50% at 50% of TP path
23fcbd7996f5afb29e9e,63651af1ce5d01dbe8b3,4755b4e757a2f981bbd9,2026-05-20T12:17:17.943079+00:00,TRAILING_STOP,forex,EURJPY,Trail SL -> 184.392004
5872b0075b232cd4cd9d,63651af1ce5d01dbe8b3,4755b4e757a2f981bbd9,2026-05-20T12:17:17.962042+00:00,PAPER_CLOSED,forex,EURJPY,SL
